"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PAL8D_CE",16.4819640348251,-1.34445765652929,0.862924723806162,-1.55802426264854,0.119227496708454,0.377811807751466
"A-rich",314.011276396276,0.490881674531279,0.321368391136791,1.52747341701796,0.126643332519231,0.396166322239646
"CERP16",73.5931899105779,-0.660392944339695,0.441585677356158,-1.49550354144992,0.134783076346811,0.416292033273694
"TIR21T5A_CE",13.3951518638294,-1.14772496802392,0.772846102378639,-1.48506276280813,0.137527199029746,0.419457957040725
"(GATTG)n",2.32450418795856,-3.22308109147223,2.18416044189032,-1.47566132489917,0.140034833311441,0.421833325036933
"(C)n",107.105834979255,-1.37244877365418,0.945755227728569,-1.4511669969305,0.146733364389249,0.431283330520535
"(CCTG)n",46.0804625659066,-0.995513139062606,0.688964780718438,-1.44494053531228,0.148474589195594,0.431283330520535
"CER17-I_CE-int",7.61325426678345,-1.99503119015162,1.37302427877421,-1.45301960132323,0.146218311785248,0.431283330520535
"(GAATG)n",1.60873490826325,-3.156929361297,2.22278238550109,-1.42026020265827,0.155531942699839,0.446468164926597
"(ATG)n",454.605540410249,0.489176260807374,0.358639311299931,1.36397836320368,0.172574375524412,0.452030036356363
"CER16-2-I_CE-int",19.317716337796,-1.51861354482165,1.10797217522434,-1.37062426185401,0.170492115762429,0.452030036356363
"HAT1_CE",83.2505928754273,-0.532197028768697,0.382567553584968,-1.39111909460586,0.16418931553643,0.452030036356363
"LINE2A_CE",24.4592164546612,-1.06316178805794,0.757833421764504,-1.40289641169761,0.16064773106748,0.452030036356363
"LINE2G_CE",41.9078031299071,-0.824336699873005,0.606570487338532,-1.3590122122327,0.174142718924173,0.452030036356363
"MSAT1_CE",2.67779090847933,-2.01996999967828,1.47804725327995,-1.36664778152102,0.171735732716667,0.452030036356363
"PAL8C_1",3.86872635065772,-2.07301923363659,1.51667054933216,-1.36682236926761,0.171680989485667,0.452030036356363
"TIR9TA1C_CE",61.4418232804897,-1.10715800364778,0.811567895642897,-1.36422104618953,0.172498006234265,0.452030036356363
"polypyrimidine",11.8834999941967,-1.55236344075161,1.13055754797073,-1.37309546386028,0.16972267106417,0.452030036356363
"CELE46A",165.067685448131,-0.436665899211913,0.328866313997699,-1.32779150866443,0.184246992887317,0.455939788077884
"CER11-I_CE-int",9.59727353497835,-2.30145876805554,1.73535413691354,-1.32621850439637,0.184767331718862,0.455939788077884
"CER3-1-LTR_CE",7.88129139880543,1.67389498321056,1.25666965200677,1.33200875865629,0.182857310407691,0.455939788077884
"GA-rich",2314.48541238717,0.440686486487034,0.328201278593339,1.34273238780727,0.17935864340635,0.455939788077884
"PALTTTAAA1",39.2057362493778,-0.951554444682316,0.717861492824802,-1.32554044783476,0.184991963195535,0.455939788077884
"HelitronY2_CE",50.7026325695902,-1.02568682581963,0.783019967822961,-1.30991145560612,0.190225791322578,0.459834362354173
"LONGPAL3",44.3751506317141,-1.01553491371462,0.775471913465628,-1.30957020632267,0.190341272941687,0.459834362354173
"(ATGGTG)n",24.0927856275754,-1.43282580709098,1.09923145254281,-1.30347963004195,0.192411066276067,0.460277452660397
"(CACCAT)n",29.6728357286154,0.685579865894761,0.528750710595833,1.2966032047923,0.194767749211751,0.461391561239489
"IR3_CE",28.0903967857326,-0.617600544931071,0.492826448219265,-1.25318060173648,0.210139987882299,0.488325305174103
"PAL8C_2",3.44844351139757,2.21337170831676,1.76288781534001,1.25553747042596,0.20928371451893,0.488325305174103
"(CATTC)n",2.56039734877609,-2.53225426745292,2.06462943953662,-1.22649334498555,0.22001307817179,0.494873697981194
"(GGAGAA)n",1.79047277902299,3.49539879248014,2.84014319264987,1.23071217026171,0.218430534651121,0.494873697981194
"GC_rich",18.3812315293868,1.03489340770631,0.837967843597067,1.23500372432421,0.2168291180601,0.494873697981194
"LTR2_CE",4.55441363674494,-2.00215024738191,1.63616313301215,-1.22368620034604,0.221070627376845,0.494873697981194
"CER1",44.9825683725975,0.95221777579627,0.78955529352218,1.20601784777917,0.227810608776627,0.505325350377245
"(CTA)n",14.7141159540804,1.07380434687327,0.904574513732676,1.18708224758874,0.235195179950173,0.507855078830463
"CER2-LTR_CE",3.16074993790521,-2.45304105878551,2.05809105255595,-1.19190113369332,0.233300013615079,0.507855078830463
"TIR23T5A_CE",23.1102118058019,-1.20944917429114,1.01804388539577,-1.18801280734667,0.23482836393823,0.507855078830463
"(TTTTC)n",4.75370458583587,1.87983174464091,1.59360075081398,1.17961273780822,0.23815427443907,0.509733710202921
"(GAAAA)n",18.8552269840331,0.971100860824406,0.833667086392853,1.16485450448357,0.244077891959326,0.513405221017892
"Tc3",83.3900483753176,-0.650319171628614,0.557872918627122,-1.16571202851896,0.24373089524157,0.513405221017892
"PALTA1_CE",8.65126734512232,-1.29037668584626,1.12117706979918,-1.15091248350039,0.24976824155089,0.520884196054847
"HATN1_CE",2.08207544179784,-2.58329936196107,2.32761346495606,-1.109848950805,0.267064121505944,0.552234285147884
"(CAGG)n",63.6873283020258,-0.539110133987957,0.492645062681996,-1.09431754182819,0.273815734391585,0.55741314724932
"CERP1",1.71639742954053,-2.6225144728977,2.40116386778343,-1.09218471428966,0.274751919789077,0.55741314724932
"PALTTAA3_CE",127.835329903093,0.323791864252981,0.297495631831847,1.08839199506632,0.276422093512982,0.55741314724932
"TIR9TA1_CE",25.9775584596272,-0.842763623248415,0.786582443956046,-1.07142440023173,0.283978646424011,0.567957292848022
"(CAA)n",421.688224872213,0.46048377289523,0.444676059401173,1.03554882967018,0.300412674855057,0.580190996102237
"CER15-1-I_CE-int",12.4778192298251,1.3856691893998,1.32863106048552,1.04292999810906,0.29698071494465,0.580190996102237
"LINE2D_CE",18.1840717982119,-1.19405334506363,1.14190910513479,-1.04566408980747,0.295716147914031,0.580190996102237
"PALTA3_CE",34.4970853570556,-0.713582635945434,0.691330963963308,-1.03218671395038,0.301984657807312,0.580190996102237
"TC5",19.0620189314717,-1.13441381318568,1.08876185613129,-1.04193015836962,0.297444060642233,0.580190996102237
"LINE2H_CE",14.1358980094483,-1.18912324395885,1.15882028313672,-1.02614983640096,0.304820962340592,0.581064959461754
"CELE11",82.8976263793044,0.444107692142987,0.442909206060166,1.00270594078069,0.316002762695928,0.59771065192098
"CER15-I_CE-int",11.468292945472,0.735086993687645,0.750266147058823,0.979768308312079,0.327200499054283,0.600277607287556
"CER16-I_CE-int",5.28100220523502,1.71002314313318,1.73993682356797,0.982807605408655,0.325702138005808,0.600277607287556
"CER6-I_CE-int",5.31069127815036,-1.98858636812448,2.02208613580395,-0.983433065938038,0.325394342975627,0.600277607287556
"PALNN1_CE",2.16954708619361,1.83695681451073,1.85176592014665,0.992002711857475,0.321196202538867,0.600277607287556
"PAL8A_CE",3.92950061899935,-1.7928011630419,1.84620259990273,-0.971074985560286,0.331510939243606,0.603646784891342
"CER16-1-LTR_CE",3.05967142536763,2.14024606188642,2.24224056266627,0.954512239909454,0.339824416614989,0.614201167807831
"CeRep5",106.243051945039,0.316561107435449,0.336516861751252,0.94069909539762,0.346859082703087,0.622306001320245
"(CATCC)n",4.83247706360823,-1.14933606618081,1.26291457369715,-0.910066357707919,0.362787515372048,0.629971204185346
"(TAAAAA)n",3.20339403167233,-1.39395848839314,1.50501796309382,-0.926207209864538,0.354338306392155,0.629971204185346
"(TATG)n",3.11935164628947,-1.74546722965635,1.92297208159604,-0.907692444607739,0.36404073684481,0.629971204185346
"LINE2E_CE",22.2398738760756,-0.963335575270366,1.06095277419394,-0.90799100459703,0.363882974267121,0.629971204185346
"SINE1_CE",8.16233337633682,-1.11108532267874,1.21947492153511,-0.911117812312264,0.362233302150704,0.629971204185346
"(TTTC)n",2.94413504834575,-1.26976612885917,1.41382850820439,-0.898104771187428,0.369129695617245,0.63427919528597
"(CA)n",69.3620173922921,-0.593286525731807,0.676997748336896,-0.87634933378917,0.380840153168058,0.638981889003742
"CELE1",161.429292622619,-0.244661770194542,0.279548819534689,-0.875202301343228,0.381463841264307,0.638981889003742
"CER8-LTR_CE",2.5323068724514,-1.81195579627373,2.0741491768711,-0.873589911699173,0.382341622108797,0.638981889003742
"DNA-3-1_CE",14.531787107133,-0.717791493042345,0.819693682839568,-0.875682597132852,0.381202608703897,0.638981889003742
"NTC2A",16.3328807479865,-0.71251993213957,0.82122235380279,-0.867633386792435,0.385595063121348,0.640035342868088
"CER3-I_CE-int",9.27284090796445,-1.26634527510186,1.487995182599,-0.851041246578502,0.394746440832459,0.650798186237298
"CeRep3",21.7988070585894,-0.821723195632109,0.977029264829295,-0.841042561581488,0.400324091139381,0.655564283476569
"TIR43YW1_CE",20.7274804914367,-0.887089362958925,1.07415567564698,-0.825848043324464,0.408890296865509,0.665128216234562
"PALTTTAAA3",39.558176914703,-0.728004942922622,0.887791086490078,-0.820018306109404,0.412205671436427,0.666080687619127
"(CGA)n",37.4253275660425,0.701285249778844,0.891449040174615,0.786680133327058,0.431469136690958,0.686533698984354
"(TCCG)n",1.2217032710971,1.6547718251878,2.12486467446514,0.778765746860715,0.43611771861711,0.686533698984354
