RepeatID,rDNAdel.ESC134_L1_rep1__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC134_L1_rep2__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC190_L1_rep1__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC190_L1_rep2__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC190_L1_rep3__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC190_L1_rep4__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_18hr_rep1__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_18hr_rep2__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_24hr_rep1__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_24hr_rep2__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_24hr_rep3__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_eft3p.TIR1_auxin.1mM_24hr_rep1__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_eft3p.TIR1_auxin.1mM_24hr_rep2__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_eft3p.TIR1_auxin.1mM_24hr_rep3__fsp_ht2.ce10_sbl_sSR.bam,wt.N2_L1_rep1__fsp_ht2.ce10_sbl_sSR.bam,wt.N2_L1_rep2__fsp_ht2.ce10_sbl_sSR.bam,wt.N2_L1_rep3__fsp_ht2.ce10_sbl_sSR.bam,wt.N2_L1_rep4__fsp_ht2.ce10_sbl_sSR.bam
CELE4_dup34,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1
CELE4_dup35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AT_rich_dup1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE4_dup36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_rich_dup1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE1_dup331,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
PALTTTAAA1_dup101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_rich_dup1921,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PALTTAA1_CE_dup176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_rich_dup1922,0,1,0,0,1,8,0,0,0,0,0,0,3,2,0,0,0,0
CELE4_dup37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
CELE4_dup38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
CERP3_dup344,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
AT_rich_dup1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PALTTTAAA3_dup31,0,0,4.84,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,1.87
PALTTAA3_CE_dup104,0,0,0.5,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
PALTTTAAA3_dup32,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87
PALTTTAAA3_dup33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAT3_CE_dup29,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
CELE14B_dup412,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
AT_rich_dup1924,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HAT3_CE_dup30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_rich_dup1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAT1_CE_dup125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERP3_dup345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LR9A_dup216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
CERP16_dup157,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
CELE4_dup39,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12
CELE4_dup40,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0
CELE42_dup297,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
CEMUDR1_dup22,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,6
CERP2_dup11,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0
CERP2_dup12,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
CERP2_dup13,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0
CELE2_dup163,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE1_dup332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE2_dup164,0,0,26,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0
CELE4_dup41,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
